Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_viu7_rrfi,:@computed_region_n4xg_c4py
B182390,08/07/2018,04/29/2019,18316.20,false,false,1,1900 Block of 30th Avenue,94116,4,Sunset/Parkside,"(37.750918626989844, -122.48813867519634)",39,10,7,35,35,8,3,1,29491,1,,,
B182389,08/07/2018,04/26/2019,85000.00,false,true,2,500 Block of Chestnut Street,94133,3,North Beach,"(37.80393960398463, -122.41222643123558)",106,6,3,23,23,1,10,3,308,2,,,
B190985,,04/25/2019,99539.00,false,false,1,1400 Block of Leavenworth Street,94109,3,Russian Hill,"(37.79432588469809, -122.41645054826014)",16,6,3,32,32,1,10,5,28858,1,,,
B181873,06/20/2018,04/25/2019,99000.00,false,false,1,1400 Block of Leavenworth Street,94109,3,Russian Hill,"(37.79432588469809, -122.41645054826014)",16,6,3,32,32,1,10,5,28858,1,,,
B181778,06/12/2018,04/24/2019,130000.00,false,true,2,1900 Block of Oak Street,94117,5,Haight Ashbury,"(37.77130130318321, -122.45141265982271)",25,7,11,3,9,5,11,15,29492,1,,,
B190479,03/04/2019,04/24/2019,10500.00,false,false,2,100 Block of Ellert Street,94110,9,Bernal Heights,"(37.73841125596938, -122.41719914654512)",61,9,2,2,2,7,7,2,28859,1,,,
B190246,01/30/2019,04/23/2019,30000.00,false,true,2,1300 Block of Dolores Street,94110,8,Noe Valley,"(37.748222160463385, -122.42495962018477)",52,3,5,22,22,4,5,2,63,1,,,
B183189,11/09/2018,04/23/2019,53500.00,false,false,2,1300 Block of Francisco Street,94123,2,Marina,"(37.80294860970148, -122.42739861574515)",17,4,6,13,17,9,1,13,57,1,,,
B190881,,04/22/2019,90000.00,false,false,3,300 Block of Niagara Avenue,94112,11,Outer Mission,"(37.71910523731388, -122.4467664326041)",80,9,1,28,25,7,6,9,28861,2,,,
B172059,08/09/2017,04/22/2019,13200.00,false,false,2,700 Block of 6th Avenue,94118,1,Inner Richmond,"(37.77449336390309, -122.46388145113791)",5,8,4,11,11,6,2,11,54,1,,,
